#,ENGINEER ONLY - Enter installation client ref (excluding the letters),ENGINEER,Did the engineer arrive on time?,How satisfied were you with the quality and standard of the work that was carried out?,How satisfied were you with the connection speed demonstrated?,Based just on your install experience today how likely are you to recommend Freedom Fibre to a friend or colleague?,Please add any further comments you have that would help better our service.,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID
5ltjhcazwktwawzp52ra5ltjhqpxlv2g,10005166,Anthony,1,5,3,4,not able to comment on the speed yet as not used it fully,completed,07/04/2023 10:15,,07/04/2023 10:17,f0f0240483
0n0a2su0b56yjipw0n0aje3u1njlrd8o,10005296,Anthony,1,5,5,5,was happy with everything,completed,07/04/2023 10:12,,07/04/2023 10:13,f0f0240483
8jlkfn58nauwwxhh2pk8jlkfn4erriej,10005359,Paul,1,4,3,3,No its fine,completed,07/04/2023 09:45,,07/04/2023 10:05,f0f0240483
jxenflecdwjq5b8csjxenmegyf0nbz7b,10005819,Brandon,1,5,5,5,i sent a form off for the change over but im sure that will get sorted n ocompleted,completed,07/04/2023 09:40,,07/04/2023 09:41,f0f0240483
bbzqfe9r44fg0rwe4fbbzqf2d447dzp8,145581641,Mark,1,5,5,5,he was a very nice friendly gentleman,completed,07/04/2023 09:32,,07/04/2023 09:33,f0f0240483
mqy3nkp9r8985b2fj5aemqy3nki0ipr3,10005121,Daniel,1,5,5,5,everything went great,completed,07/04/2023 09:07,,07/04/2023 09:10,f0f0240483
u8s4hq3ilbuvptmohhh6bu8s4hq3i9ov,10005473,Callum,1,5,5,5,just went smoothly im happy basically,completed,07/04/2023 09:04,,07/04/2023 09:05,f0f0240483
cojm6gtz81gc011pgl4cojm8q1f76nq2,10005463,Brandon,1,5,3,5,Everything went smoothly,completed,07/04/2023 09:00,,07/04/2023 09:01,f0f0240483
exuzx0t3qy4dia7i6exuzx37zzwtw8h2,10005795,Mark,1,4,5,3,The quality of the router was disappointed with that.,completed,07/04/2023 08:39,,07/04/2023 08:40,f0f0240483
6943xe30a9frhz3d3tqe694d3nisi725,10005716,Paul,1,5,5,5,"Nothing negative to say, the man that came out was really nice",completed,05/04/2023 15:32,,05/04/2023 15:42,15c01d08b6
4sa8ygbtk6b3jgmllazn4sa8qhdx61xh,10005731,Brandon,1,5,3,5,Not notice any Difference in the speed.,completed,05/04/2023 10:34,,05/04/2023 10:38,15c01d08b6
00z4pnb9ngvja07guvn800z4zhzd17nb,10005451,Callum,1,4,4,3,Caught us out last minute with emailing us vouchers then someone knocking on the door 10 minutes later. broadband has been dropping out.,completed,05/04/2023 09:38,,05/04/2023 09:41,15c01d08b6
hbatiy8ogua1hbatcqpoh125bkw7jdau,10005268,Anthony,1,5,5,5,"The guy tony was lovely, took his time and made sure he did everything to the best that he could do",completed,05/04/2023 09:36,,05/04/2023 09:38,15c01d08b6
2qpk5onm95lmykw07e8y92qpk5olo5jj,10005439,Brandon,1,5,5,5,everything was done quick and done a good job,completed,05/04/2023 09:28,,05/04/2023 09:29,15c01d08b6
zwkgtaa212xpsknskzwkgta3fehsedxw,10005726,Anthony,1,5,5,5,There is something the husband had NOW for the television isn't working,completed,05/04/2023 09:03,,05/04/2023 09:05,15c01d08b6
da9rcy418hl9lvqz53ibda9ri20uf36h,10005518,Callum,1,5,2,5,Havant noticed a difference in speeds. didn't have a phone call before engineer turned up working from home would of been handy to know when they turned up. gentleman was really considerate and really tidy.,completed,05/04/2023 08:42,,05/04/2023 08:44,15c01d08b6
waytir39uqioy5oxlwaytirsr9vspisd,10005520,Callum,1,5,5,5,Can think of anything was pretty smooth,completed,05/04/2023 08:36,,05/04/2023 08:37,15c01d08b6
58sflfabqka4yy273aqq58sflfar1841,10005690,Brandon,1,5,3,5,Broadband doesn't work,completed,03/04/2023 13:41,,03/04/2023 13:43,f0f0240483
heybmsrou4xzparb8vheybmwwzhfuo9n,10005498,Callum,1,5,5,5,very good,completed,03/04/2023 13:20,,03/04/2023 13:20,f0f0240483
06mdelwqyxio184jp06mjk235lndkiel,10005503,Callum,1,4,5,5,could of been more informative,completed,03/04/2023 13:14,,03/04/2023 13:16,f0f0240483
8y37hfl1tzjj9i7in68y37hr8imdysbr,10005436,Callum,1,5,5,5,All good,completed,03/04/2023 13:12,,03/04/2023 13:12,f0f0240483
7kqxrnoo0x3kef2r7kqxrnotqp2cs3kn,10005674,Mark,1,5,5,5,I wasn't actually there so hard for met  comment,completed,03/04/2023 09:31,,03/04/2023 09:33,f0f0240483
xfx3u2wqifz9ug5c6jovxfx3ux3s3gb5,10005682,Mark,1,5,5,5,Not really,completed,03/04/2023 09:27,,03/04/2023 09:30,f0f0240483
zbaejppvpssepxnvzbarhfu3b4wxz84w,10005681,Daniel,1,5,5,1,I had no internet the day after they installed it.,completed,03/04/2023 09:20,,03/04/2023 09:24,f0f0240483
inaiyisw14io1jinai5gd3zx0njc0mhi,10005688,Paul,1,5,5,5,very polite and helpful,completed,03/04/2023 09:17,,03/04/2023 09:19,f0f0240483
b4x2sbmnjhz3bu9eb4x2s0wfqsi7211t,10005502,Brandon,1,5,5,5,lads were very good,completed,03/04/2023 09:06,,03/04/2023 09:07,f0f0240483
ro0cf72njulvw22rxrojw3hph93xw2gf,10005773,Daniel,1,5,5,5,Danny was brilliant,completed,03/04/2023 09:01,,03/04/2023 09:02,f0f0240483
u34q75qeatpkznt6fxu34qa9se7gyjz2,10005480,Callum,1,5,5,5,No,completed,30/03/2023 13:35,,30/03/2023 13:35,f0f0240483
gckmip7xzdzqcgckmilvbbihqji2dgyl,10005712,Daniel,1,5,5,5,No,completed,30/03/2023 13:30,,30/03/2023 13:31,f0f0240483
